ID,Rank,Symbol,Name,Price(USD),Max Supply
bitcoin,1,BTC,Bitcoin,20182.4900521005093809,21000000.0000000000000000
ethereum,2,ETH,Ethereum,1436.1493508141653410,
tether,3,USDT,Tether,1.0060942644153668,
binance-coin,4,BNB,BNB,273.8370594542024509,166801148.0000000000000000
usd-coin,5,USDC,USD Coin,0.9203645254297579,
xrp,6,XRP,XRP,0.3629451805255404,100000000000.0000000000000000
cardano,7,ADA,Cardano,0.3050038620330393,45000000000.0000000000000000
polygon,8,MATIC,Polygon,1.0127738911149794,10000000000.0000000000000000
dogecoin,9,DOGE,Dogecoin,0.0644950851078198,
binance-usd,10,BUSD,Binance USD,0.9969478723677532,
solana,11,SOL,Solana,17.2501354618497688,
polkadot,12,DOT,Polkadot,5.2914417472020265,
shiba-inu,13,SHIB,Shiba Inu,0.0000100032530202,
multi-collateral-dai,14,DAI,Multi Collateral DAI,0.9383881118562060,
tron,15,TRX,TRON,0.0562646438949532,
litecoin,16,LTC,Litecoin,67.6728435904942810,84000000.0000000000000000
avalanche,17,AVAX,Avalanche,14.1086948395839228,720000000.0000000000000000
uniswap,18,UNI,Uniswap,5.3155789102338160,1000000000.0000000000000000
unus-sed-leo,19,LEO,UNUS SED LEO,3.4345015718528069,
chainlink,20,LINK,Chainlink,6.0041904867819614,1000000000.0000000000000000
wrapped-bitcoin,21,WBTC,Wrapped Bitcoin,20225.9192712120266525,
cosmos,22,ATOM,Cosmos,10.6764303976844057,
monero,23,XMR,Monero,139.1621810308932580,
ethereum-classic,24,ETC,Ethereum Classic,16.7991226767348280,210700000.0000000000000000
okb,25,OKB,OKB,38.7494545107344196,
bitcoin-cash,26,BCH,Bitcoin Cash,109.8874194171049096,21000000.0000000000000000
stellar,27,XLM,Stellar,0.0762289848969100,50001806812.0000000000000000
filecoin,28,FIL,Filecoin,4.7662205733890620,
lido-dao,29,LDO,Lido DAO,2.0197282254285266,1000000000.0000000000000000
crypto-com-coin,30,CRO,Crypto.com Coin,0.0633024862778480,30263013692.0000000000000000
near-protocol,31,NEAR,NEAR Protocol,1.7148745597044069,1000000000.0000000000000000
vechain,32,VET,VeChain,0.0197035602528160,86712634466.0000000000000000
quant,33,QNT,Quant,114.1776301223977930,14881364.0000000000000000
internet-computer,34,ICP,Internet Computer,4.6142190596157352,
trueusd,35,TUSD,TrueUSD,0.9957395640841253,
algorand,36,ALGO,Algorand,0.1826440164669584,10000000000.0000000000000000
bitcoin-bep2,37,BTCB,Bitcoin BEP2,20233.5272283970958292,
eos,38,EOS,EOS,0.9765254166549270,
the-graph,39,GRT,The Graph,0.1101656951002627,0.0000000000000000
decentraland,40,MANA,Decentraland,0.5030751438163769,
aave,41,AAVE,Aave,64.7335562401557252,16000000.0000000000000000
tezos,42,XTZ,Tezos,0.9634745896409078,
elrond-egld,43,EGLD,MultiversX,36.7048530286385407,31415926.0000000000000000
fantom,44,FTM,Fantom,0.3142924520952028,3175000000.0000000000000000
theta,45,THETA,THETA,0.8708198597406795,1000000000.0000000000000000
flow,46,FLOW,Flow,0.8383571421781295,
paxos-standard,47,USDP,Pax Dollar,0.9796423878741949,
hedera-hashgraph,48,HBAR,Hedera Hashgraph,0.0566930296749359,50000000000.0000000000000000
kucoin-token,49,KCS,KuCoin Token,8.2518030851645088,170118638.0000000000000000
axie-infinity,50,AXS,Axie Infinity,7.0598156001506357,270000000.0000000000000000
stacks,51,STX,Stacks,0.5753038872817036,1818000000.0000000000000000
the-sandbox,52,SAND,The Sandbox,0.5147320289310139,3000000000.0000000000000000
chiliz,53,CHZ,Chiliz,0.1067518202185357,8888888888.0000000000000000
zcash,54,ZEC,Zcash,40.6782648273587209,21000000.0000000000000000
maker,55,MKR,Maker,675.5382923500157673,1005577.0000000000000000
gemini-dollar,56,GUSD,Gemini Dollar,1.0805918311792250,0.0000000000000000
huobi-token,57,HT,Huobi Token,4.0281244720031871,500000000.0000000000000000
neo,58,NEO,Neo,9.2456490259462677,100000000.0000000000000000
klaytn,59,KLAY,Klaytn,0.2086291247931879,
pancakeswap,60,CAKE,PancakeSwap,3.4660611893633822,750000000.0000000000000000
bitcoin-sv,61,BSV,Bitcoin SV,32.1681228661080354,21000000.0000000000000000
rocket-pool,62,RPL,Rocket Pool,32.0498025798655992,19113413.0000000000000000
curve-dao-token,63,CRV,Curve DAO Token,0.8069863403077262,3303030299.0000000000000000
dash,64,DASH,Dash,46.3493697299366383,18900000.0000000000000000
frax-share,65,FXS,Frax Share,6.9006534421908826,
ecash,66,XEC,eCash,0.0000264128064646,21000000000000.0000000000000000
mina,67,MINA,Mina,0.5825874211418149,
iota,68,MIOTA,IOTA,0.1811019164030797,2779530283.0000000000000000
gatetoken,69,GT,GateToken,4.4628192988007145,
synthetix-network-token,70,SNX,Synthetix,2.0228453752031515,212424133.0000000000000000
trust-wallet-token,71,TWT,Trust Wallet Token,1.1107685505673464,1000000000.0000000000000000
fei-protocol,72,FEI,Fei Protocol,0.9951678673678800,
kava,73,KAVA,Kava,0.8832149415444639,
thorchain,74,RUNE,THORChain,1.1746660918433907,500000000.0000000000000000
convex-finance,75,CVX,Convex Finance,4.8523310281588540,100000000.0000000000000000
singularitynet,76,AGIX,SingularityNET,0.2989392022682322,2000000000.0000000000000000
casper,77,CSPR,Casper,0.0332923639816870,
conflux-network,78,CFX,Conflux,0.1355892261964003,
1inch,79,1INCH,1inch Network,0.4278518759379529,
loopring,80,LRC,Loopring,0.2599659045838626,1374513896.0000000000000000
zilliqa,81,ZIL,Zilliqa,0.0217867514358379,21000000000.0000000000000000
render-token,82,RNDR,Render Token,0.9326018414581867,536870912.0000000000000000
enjin-coin,83,ENJ,Enjin Coin,0.3369213144225257,1000000000.0000000000000000
ftx-token,84,FTT,FTX Token,1.0174931101600415,352170015.0000000000000000
xinfin-network,85,XDC,XinFin Network,0.0270862010643340,
nexo,86,NEXO,Nexo,0.5682642732240019,1000000000.0000000000000000
basic-attention-token,87,BAT,Basic Attention Token,0.2020917824631613,1500000000.0000000000000000
nem,88,XEM,NEM,0.0323338772066267,8999999999.0000000000000000
dydx,89,DYDX,dYdX,1.7990471706345032,1000000000.0000000000000000
helium,90,HNT,Helium,2.0010060570658149,223000000.0000000000000000
theta-fuel,91,TFUEL,Theta Fuel,0.0452593027449557,
sonm,92,SNM,SONM,0.7568784558892063,
balancer,93,BAL,Balancer,5.5943441340107561,96150704.0000000000000000
wootrade,94,WOO,WOO Network,0.1625740718879526,
oasis-network,95,ROSE,Oasis Network,0.0465238438327552,10000000000.0000000000000000
decred,96,DCR,Decred,17.9873232221793308,21000000.0000000000000000
holo,97,HOT,Holo,0.0015192569212085,
compound,98,COMP,Compound,36.1687691126154537,10000000.0000000000000000
ravencoin,99,RVN,Ravencoin,0.0214558899000290,21000000000.0000000000000000
yearn-finance,100,YFI,yearn.finance,7062.3690164455039233,36666.0000000000000000
